index,entry,diagram,size,weyl_a,weyl_b,weyl_c
205,205,"(3, 3, 3, 2, 1, 1, 1)",14,0.7853981633974482,0.3070236895243932,-0.12841556998647619
206,206,"(3, 3, 2, 2, 2, 1, 1)",14,0.7853981633974483,0.19650031815176267,-0.012755773600283682
207,207,"(3, 3, 2, 2, 1, 1, 1, 1)",14,0.7853981633974483,0.224579630918058,-0.07599936348194625
208,208,"(3, 3, 2, 1, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.2754042724633461,-0.17011889615809306
209,209,"(3, 2, 2, 2, 2, 2, 1)",14,0.7853981633974483,0.1433525924396577,0.015371296591124017
210,210,"(3, 2, 2, 2, 2, 1, 1, 1)",14,0.7853981633974483,0.16584894226882246,-0.04070424102752224
211,211,"(3, 2, 2, 2, 1, 1, 1, 1, 1)",14,0.7853981633974483,0.17581184835551378,-0.08025474502998708
212,212,"(3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.1913067062156708,-0.12918669912880798
213,213,"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",14,0.7853981633974482,0.22770592152823976,-0.2158029725173849
214,214,"(12, 2, 1)",15,0.7853981633974483,0.24203027882798628,0.22444905459643583
215,215,"(11, 3, 1)",15,0.7853981633974483,0.2787415483621865,0.18742560189613938
216,216,"(11, 2, 1, 1)",15,0.7853981633974482,0.2835227975638306,-0.2298612165423064
217,217,"(10, 4, 1)",15,0.7853981633974483,0.28606561593240454,0.17186559820700054
218,218,"(10, 3, 2)",15,0.7853981633974483,0.2713690924534549,0.17471951339813324
219,219,"(10, 3, 1, 1)",15,0.7853981633974481,0.32965736064995266,-0.1997192048079608
220,220,"(10, 2, 2, 1)",15,0.7853981633974483,0.2096933494262272,0.1792881677358249
221,221,"(10, 2, 1, 1, 1)",15,0.7853981633974482,0.30061611294116997,-0.2283205311814962
222,222,"(9, 5, 1)",15,0.7853981633974483,0.2724490316692521,0.16331963524557264
223,223,"(9, 4, 2)",15,0.7853981633974483,0.2204265325356718,0.1913712701688733
224,224,"(9, 4, 1, 1)",15,0.7853981633974482,0.3389954790043248,-0.18481425887698677
225,225,"(9, 3, 1, 1, 1)",15,0.7853981633974483,0.3502916795058644,0.20510966388936325
226,226,"(9, 2, 2, 1, 1)",15,0.7853981633974483,0.2164617559096973,0.20880464510796592
227,227,"(9, 2, 1, 1, 1, 1)",15,0.7853981633974482,0.30822942475655424,-0.22630711230505263
228,228,"(8, 6, 1)",15,0.7853981633974483,0.2168168123518321,0.15261325292099398
229,229,"(8, 5, 2)",15,0.7853981633974483,0.19571985340716103,0.1691740764982712
230,230,"(8, 5, 1, 1)",15,0.7853981633974483,0.31762594195179616,0.17446733846913887
231,231,"(8, 4, 3)",15,0.7853981633974483,0.30313298445766484,0.111257702478533
232,232,"(8, 4, 1, 1, 1)",15,0.7853981633974482,0.3568452802024087,-0.19202307562227894
233,233,"(8, 3, 3, 1)",15,0.7853981633974481,0.20329945889359102,-0.18015201827641558
234,234,"(8, 3, 2, 2)",15,0.7853981633974483,0.28643867045830557,0.2072167274110142
235,235,"(8, 3, 1, 1, 1, 1)",15,0.7853981633974483,0.35807676459701643,0.20873361663431922
236,236,"(8, 2, 2, 2, 1)",15,0.7853981633974483,0.19145631359757065,0.13525329730030222
237,237,"(8, 2, 2, 1, 1, 1)",15,0.7853981633974482,0.21853623091672958,-0.21499076541909012
238,238,"(8, 2, 1, 1, 1, 1, 1)",15,0.7853981633974481,0.310618867215676,-0.2251443299907061
239,239,"(7, 6, 2)",15,0.7853981633974483,0.16638356036436613,0.05367664511822173
240,240,"(7, 6, 1, 1)",15,0.7853981633974483,0.20469436354705106,0.151703044592157
241,241,"(7, 5, 3)",15,0.7853981633974483,0.23992726416100546,0.07968846219047027
242,242,"(7, 5, 1, 1, 1)",15,0.7853981633974482,0.3151065117173433,-0.17882960253110003
243,243,"(7, 4, 2, 2)",15,0.7853981633974483,0.2421545631656416,0.21637298431489527
244,244,"(7, 4, 1, 1, 1, 1)",15,0.7853981633974481,0.35621345130130333,-0.19672047091752098
245,245,"(7, 3, 3, 2)",15,0.7853981633974483,0.2590279585157652,0.09474353301724414
246,246,"(7, 3, 3, 1, 1)",15,0.7853981633974483,0.23600831667323785,0.192188127526145
247,247,"(7, 3, 1, 1, 1, 1, 1)",15,0.7853981633974483,0.3574136384499944,0.21198246719262936
248,248,"(7, 2, 2, 2, 1, 1)",15,0.7853981633974482,0.19856012781059373,-0.15652800830385072
249,249,"(7, 2, 2, 1, 1, 1, 1)",15,0.7853981633974482,0.21990544347001073,-0.21198246719262936
250,250,"(7, 2, 1, 1, 1, 1, 1, 1)",15,0.7853981633974482,0.3091399020151,-0.2251443299907061
251,251,"(6, 6, 2, 1)",15,0.7853981633974483,0.2895834181106703,0.19301233752663793
252,252,"(6, 5, 4)",15,0.7853981633974483,0.3150670051690412,-0.04939189044366188
253,253,"(6, 5, 2, 2)",15,0.7853981633974483,0.20403246132536285,0.11689529983631586
254,254,"(6, 5, 1, 1, 1, 1)",15,0.7853981633974482,0.2586038355244886,-0.1728508102292894
255,255,"(6, 4, 4, 1)",15,0.7853981633974483,0.15693670627154793,0.1491785510863673
256,256,"(6, 4, 1, 1, 1, 1, 1)",15,0.7853981633974481,0.33598013210859623,-0.19856012781059373
257,257,"(6, 3, 3, 1, 1, 1)",15,0.7853981633974482,0.2387833060475515,-0.19488036639873751
258,258,"(6, 3, 2, 2, 2)",15,0.7853981633974483,0.29274024783851427,0.20050811692229742
259,259,"(6, 3, 1, 1, 1, 1, 1, 1)",15,0.7853981633974483,0.3481033184099278,0.21499076541909012
260,260,"(6, 2, 2, 2, 2, 1)",15,0.7853981633974482,0.1728508102292894,-0.09306539300174599
261,261,"(6, 2, 2, 2, 1, 1, 1)",15,0.7853981633974482,0.19672047091752098,-0.15920990288669046
262,262,"(6, 2, 2, 1, 1, 1, 1, 1)",15,0.7853981633974482,0.21547052816429968,-0.20873361663431922
263,263,"(6, 2, 1, 1, 1, 1, 1, 1, 1)",15,0.7853981633974483,0.30373897769848934,0.22630711230505263
264,264,"(5, 5, 4, 1)",15,0.7853981633974481,0.21813029906069392,-0.09996977241595584
265,265,"(5, 5, 3, 2)",15,0.7853981633974483,0.3318292711458047,0.07298725336289913
266,266,"(5, 5, 3, 1, 1)",15,0.7853981633974482,0.2662465265698106,-0.22522192682463604
267,267,"(5, 5, 2, 2, 1)",15,0.7853981633974483,0.24409165779798858,0.10776110446149101
268,268,"(5, 5, 2, 1, 1, 1)",15,0.7853981633974481,0.2927402478385144,-0.23577161536675018
269,269,"(5, 4, 4, 2)",15,0.7853981633974483,0.19340809455954738,-0.009580345005377744
270,270,"(5, 4, 4, 1, 1)",15,0.7853981633974482,0.15641063049534942,-0.12894459298353134
