diagram,size,weyl_a,weyl_b,weyl_c
"(4, 2, 1, 1, 1, 1)",10,0.7853981633974483,0.2518330521972567,0.23819754424410355
"(3, 3, 2, 1, 1)",10,0.7853981633974483,0.29145398264983324,0.11339300725726709
"(3, 2, 2, 2, 1)",10,0.7853981633974483,0.17634042411731715,-0.005886184447962961
"(3, 2, 2, 1, 1, 1)",10,0.7853981633974483,0.20888246192213256,0.09123226867179213
"(3, 2, 1, 1, 1, 1, 1)",10,0.7853981633974481,0.24423098762496132,-0.18780713989320486
"(8, 2, 1)",11,0.7853981633974483,0.23952352119384113,0.22582475651283396
"(7, 3, 1)",11,0.7853981633974483,0.24611981226465218,0.20461115960609533
"(7, 2, 1, 1)",11,0.7853981633974482,0.26166773359966555,-0.2466116469572146
"(6, 4, 1)",11,0.7853981633974482,0.20579450161984436,-0.18415600050478176
"(6, 3, 2)",11,0.7853981633974483,0.28867969405090044,0.12654312803213763
"(6, 3, 1, 1)",11,0.7853981633974483,0.2824966674260887,0.2180667140385113
"(6, 2, 2, 1)",11,0.7853981633974483,0.21710423477189167,0.14651289253116317
"(6, 2, 1, 1, 1)",11,0.7853981633974482,0.27107791009678994,-0.24712295564837827
"(5, 4, 2)",11,0.7853981633974483,0.2238564134514779,-0.042549678129463864
"(5, 4, 1, 1)",11,0.7853981633974482,0.19124860528784726,-0.18683459676035596
"(5, 3, 1, 1, 1)",11,0.7853981633974482,0.2772291465348946,-0.22274068451295825
"(5, 2, 2, 1, 1)",11,0.7853981633974483,0.22274068451295825,0.16334008837721026
"(5, 2, 1, 1, 1, 1)",11,0.7853981633974483,0.2669283124878232,0.24712295564837827
"(4, 4, 2, 1)",11,0.7853981633974483,0.2965514378709111,0.13880503486917384
"(4, 3, 3, 1)",11,0.7853981633974483,0.16744807921968935,-0.05906282649619232
"(4, 3, 2, 2)",11,0.7853981633974483,0.29655143787091076,-0.06897847593594442
"(4, 3, 1, 1, 1, 1)",11,0.7853981633974483,0.22464355774663325,0.21710423477189167
"(4, 2, 2, 2, 1)",11,0.7853981633974483,0.18683459676035574,-0.06505609879141439
"(4, 2, 2, 1, 1, 1)",11,0.7853981633974483,0.2180667140385113,0.15124863752902318
"(4, 2, 1, 1, 1, 1, 1)",11,0.7853981633974483,0.24819412163417365,0.2466116469572146
"(3, 3, 2, 2, 1)",11,0.7853981633974483,0.22385641345147778,-0.006831405152727399
"(3, 3, 2, 1, 1, 1)",11,0.7853981633974483,0.28867969405090044,0.13597613336898373
"(3, 2, 2, 2, 1, 1)",11,0.7853981633974483,0.1841560005047822,-0.04070745894888361
"(3, 2, 2, 1, 1, 1, 1)",11,0.7853981633974483,0.20461115960609533,0.10488726543252369
"(3, 2, 1, 1, 1, 1, 1, 1)",11,0.7853981633974482,0.23952352119384113,-0.19690309927086336
"(9, 2, 1)",12,0.7853981633974483,0.23520746185167596,0.2315882012076118
"(8, 3, 1)",12,0.7853981633974483,0.25878800662998636,0.1999903700841692
"(8, 2, 1, 1)",12,0.7853981633974482,0.2696705430198225,-0.24178368757363167
