diagram,gate_index,qubits,theta,phi,lambda
"[7, 2, 1]",4,[1],2.0592583020411594,-3.1415926475225224,-3.1415926406605768
"[7, 2, 1]",6,[0],2.774843818751236,-3.1415926123874938,0.0
"[7, 2, 1]",7,[1],0.7796840374976048,1.5274683740074124e-08,3.1415926321105125
"[6, 3, 1]",0,[0],0.5901556573580083,-3.141592755482428,1.240584530659561e-07
"[6, 3, 1]",1,[1],2.9384127481433553,6.283185260869667,2.3323696307642194e-08
"[6, 3, 1]",3,[0],2.023555107861099,1.756454435688787e-07,2.6469779601696886e-23
"[6, 3, 1]",4,[1],1.153031402952102,2.4085546002083902e-08,-3.141592712954943
"[6, 3, 1]",6,[0],2.7646604005394653,-3.1415924653149183,3.141592653589793
"[6, 3, 1]",7,[1],0.8858857381075611,7.2274676243822e-08,-3.1415927678393123
"[6, 2, 1, 1]",0,[0],0.7730721741429394,3.141592653446983,2.019062694813556e-10
"[6, 2, 1, 1]",1,[1],2.591625984249821,-3.1415926536420384,-5.697442517771378e-12
"[6, 2, 1, 1]",3,[0],1.0704068962022126,-3.1415926541619634,0.0
"[6, 2, 1, 1]",4,[1],1.0671302224033767,-3.1415926535139844,-1.5707057876568342e-10
"[6, 2, 1, 1]",6,[0],0.1470659703106059,5.789630996844153e-10,-3.1415926535897936
"[6, 2, 1, 1]",7,[1],2.4561561061203623,-3.141592653364712,2.9074853635790987e-10
"[5, 4, 1]",0,[0],2.6013847382892354,-3.1415926273308292,3.141592674862893
"[5, 4, 1]",1,[1],0.012160266793445083,-1.1406593611873461e-06,-3.1415915517478585
"[5, 4, 1]",3,[0],1.3175441539040216,-3.141592881480991,0.0
"[5, 4, 1]",4,[1],1.923477174871321,-3.14159265575959,-6.281712705558107e-09
"[5, 4, 1]",6,[0],2.9905217675454785,-3.1415928812609892,0.0
"[5, 4, 1]",7,[1],2.1731852164951353,-3.1415926357275357,3.152464422839785e-08
"[5, 3, 2]",0,[0],0.684719203026699,1.1949156364288363e-08,-1.3838165919099577e-08
"[5, 3, 2]",1,[1],0.23077771600912933,3.1415926373138205,3.1415926688113114
"[5, 3, 2]",3,[0],1.7554303691867295,6.283185301421164,0.0
"[5, 3, 2]",4,[1],0.9878883614658788,3.1415926612151885,3.1415926397368734
"[5, 3, 2]",6,[0],2.7864840250074,3.1415926471598272,3.141592653589793
"[5, 3, 2]",7,[1],2.268174473702499,-3.141592669128513,3.1415926293941
"[5, 3, 1, 1]",0,[0],0.6070416780559014,4.533176427742531e-08,-4.637241726236669e-08
"[5, 3, 1, 1]",1,[1],2.8385527993857855,8.085633251150575e-09,-9.267731716070266e-09
"[5, 3, 1, 1]",3,[0],1.0735603159010072,-6.283185137332576,0.0
"[5, 3, 1, 1]",4,[1],1.1290419707824622,-1.1107315511793558e-08,3.1415926795702336
"[5, 3, 1, 1]",6,[0],0.10874838048590553,-1.7462748047591958e-07,3.141592653589793
"[5, 3, 1, 1]",7,[1],2.328787524215849,3.1415926189660106,3.1415926032252908
"[5, 2, 2, 1]",0,[0],0.9356819473754194,3.1415926485381274,8.521324756927129e-09
"[5, 2, 2, 1]",1,[1],2.7165714004293897,-5.389531777513582e-09,1.8330028289313182e-09
"[5, 2, 2, 1]",3,[0],1.8259012290534578,3.1415926979976385,0.0
"[5, 2, 2, 1]",4,[1],1.1357419955449368,3.890033628550782e-09,3.141592644359886
"[5, 2, 2, 1]",6,[0],2.974023547202621,-3.1415926086065977,0.0
"[5, 2, 2, 1]",7,[1],0.6623876281627032,1.4084902577593539e-08,-3.1415926714521096
"[5, 2, 1, 1, 1]",0,[0],5.4977871432080025,3.634749410015809,3.1415926510532306
"[5, 2, 1, 1, 1]",1,[1],5.562723214035108,2.574026663847097,0.7035385172993041
"[5, 2, 1, 1, 1]",3,[0],5.220051523046963,3.1415926526095075,2.648435900944435
"[5, 2, 1, 1, 1]",4,[1],4.108744057715739,3.4211737913674956,7.408488084863855
"[5, 2, 1, 1, 1]",6,[1],1.905040297939141,-1.8257336161270907,0.8994777781005299
"[4, 3, 1, 1, 1]",0,[0],2.506478274171057,3.141592653309959,3.1415926535128627
"[4, 3, 1, 1, 1]",1,[1],0.2787994133496252,-3.141592653740506,-3.14159265317508
"[4, 3, 1, 1, 1]",3,[0],1.9812174457736627,-6.28318530607143,0.0
"[4, 3, 1, 1, 1]",4,[1],1.1357419955443528,-1.7372914407086834e-11,4.122082266937608e-11
"[4, 3, 1, 1, 1]",6,[0],0.16756910639491743,3.1415926523770525,-3.1415926535897936
"[4, 3, 1, 1, 1]",7,[1],2.3469055914888854,-3.141592653570927,-3.1415926535628604
"[4, 2, 2, 1, 1]",0,[0],0.9637546489928891,3.1415926512990993,3.527851344387045e-10
"[4, 2, 2, 1, 1]",1,[1],0.5170333590810854,-3.1415926471298183,3.141592651553559
"[4, 2, 2, 1, 1]",3,[0],1.305406777852165,-3.1415925791441,0.0
"[4, 2, 2, 1, 1]",4,[1],1.129041970685985,-3.1415926544220123,-3.1415926516432005
"[4, 2, 2, 1, 1]",6,[0],0.10874838044314683,3.141592579706002,-3.1415926535897936
"[4, 2, 2, 1, 1]",7,[1],0.6099394466837699,2.3549127092792332e-09,3.141592650716837
"[4, 2, 1, 1, 1, 1]",0,[0],2.343868500937746,1.411019301400529e-09,-3.141592651414776
"[4, 2, 1, 1, 1, 1]",1,[1],2.571297001771719,3.14159265086032,-7.657976475172745e-10
"[4, 2, 1, 1, 1, 1]",3,[0],2.047191415283103,-3.1415926395855664,-3.1415926535897936
"[4, 2, 1, 1, 1, 1]",4,[1],1.0671302224003851,-3.141592655054693,-3.141592650554611
